"Colma","365 D Street,  Colma,  CA,  94014","Match","Exact","365 D ST, COLMA, CA, 94014","-122.46186,37.683956","192410852","L","06","081","601601",""
"Oakland Int'l Airport","4 Airport Drive,  Oakland,  CA,  94621","No_Match"
"Embarcadero (SF)","298 Market Street,  San Francisco,  CA,  94111","Tie"
"Montgomery St. (SF)","598 Market Street,  San Francisco,  CA,  94104","Match","Exact","598 MARKET ST, SAN FRANCISCO, CA, 94104","-122.40175,37.789036","640937260","R","06","075","011700",""
"Lafayette","3601 Deer Hill Road,  Lafayette,  CA,  94549","Match","Exact","3601 DEER HILL RD, LAFAYETTE, CA, 94549","-122.12466,37.89449","639044102","L","06","013","348000",""
"Millbrae","200 North Rollins Road,  Millbrae,  CA,  94030","No_Match"
"West Dublin/Pleasanton","6501 Golden Gate Drive,  Dublin,  CA,  94568","Match","Exact","6501 GOLDEN GATE DR, DUBLIN, CA, 94568","-121.92879,37.70288","125084182","L","06","001","450400",""
"16th St. Mission (SF)","2000 Mission Street,  San Francisco,  CA,  94110","Match","Exact","2000 MISSION ST, SAN FRANCISCO, CA, 94110","-122.41966,37.764923","192287513","R","06","075","020100",""
"Castro Valley","3301 Norbridge Dr.,  Castro Valley,  CA,  94546","Match","Non_Exact","3301 NORBRIDGE AVE, CASTRO VALLEY, CA, 94546","-122.07563,37.69212","125074349","R","06","001","431000",""
"Coliseum","7200 San Leandro St.,  Oakland,  CA,  94621","Match","Non_Exact","7200 SAN LEANDRO ST, OAKLAND, CA, 94601","-122.19709,37.753475","125008241","L","06","001","408800",""
"Richmond","1700 Nevin Avenue,  Richmond,  CA,  94801","No_Match"
"Ashby (Berkeley)","3100 Adeline Street,  Berkeley,  CA,  94703","Match","Exact","3100 ADELINE ST, BERKELEY, CA, 94703","-122.27027,37.851833","606279169","R","06","001","423901",""
"Orinda","11 Camino Pablo,  Orinda,  CA,  94563","No_Match"
"Daly City","500 John Daly Blvd.,  Daly City,  CA,  94014","Match","Exact","500 JOHN DALY BLVD, DALY CITY, CA, 94014","-122.466515,37.70518","192399749","R","06","081","600700",""
"Fruitvale (Oakland)","3401 East 12th Street,  Oakland,  CA,  94601","Match","Exact","3401 E 12TH ST, OAKLAND, CA, 94601","-122.22396,37.775997","606127028","R","06","001","406100",""
"Concord","1451 Oakland Avenue,  Concord,  CA,  94520","Match","Non_Exact","1451 OAKLAND AVE, CONCORD, CA, 94518","-122.02802,37.973934","607770247","L","06","013","335000",""
"Rockridge (Oakland)","5660 College Avenue,  Oakland,  CA,  94618","Match","Exact","5660 COLLEGE AVE, OAKLAND, CA, 94618","-122.25174,37.843807","125075290","R","06","001","400300",""
"Hayward","699 B Street,  Hayward,  CA,  94541","Match","Exact","699 B ST, HAYWARD, CA, 94541","-122.08731,37.670807","125021127","R","06","001","435400",""
"North Concord/Martinez","3700 Port Chicago Highway,  Concord,  CA,  94520","No_Match"
"MacArthur (Oakland)","555 40th Street,  Oakland,  CA,  94609","Match","Exact","555 40TH ST, OAKLAND, CA, 94609","-122.26567,37.829395","606281479","L","06","001","401100",""
"Dublin/Pleasanton","5801 Owens Dr.,  Pleasanton,  CA,  94588","Match","Exact","5801 OWENS DR, PLEASANTON, CA, 94588","-121.903694,37.69912","606315037","R","06","001","450743",""
